BAM	ID	BADgroup	ASBgroup	Extra1	Extra2	Extra3
H4K20me1Mono.nodups.bam	BAM00048			ChIP_seq	histone	H4K20me1
C8LVDACXX_H2AZac_DIVA_16s000910-1-1_Clouaire_lane116s000910.nodups.bam	BAM00049			ChIP_seq	histone	H2AZac
HVW7VBGXX_H4K16ac_DIVA_16s000430-1-1_Clouaire_lane116s000430_sequence.nodups.bam	BAM00050			ChIP_seq	histone	H4K16a
H4K16ac_-OHT_hg19.sorted.nodups.bam	BAM00051			ChIP_seq	histone	H4K16ac
C8LVDACXX_H3_DIVA_16s000906-1-1_Clouaire_lane116s000906.nodups.bam	BAM00052			ChIP_seq	histone	H3
HMNY7BGXX_H2BK120ac_DIVA_16s000420-1-1_Clouaire_lane116s000420_sequence.nodups.bam	BAM00053			ChIP_seq	histone	H2BK120ac
C8LVDACXX_H4K12ac_DIVA_16s000908-1-1_Clouaire_lane116s000908.nodups.bam	BAM00054			ChIP_seq	histone	H4K12ac
H4K12ac_OHT.nodups.bam	BAM00055			ChIP_seq	histone	H4K12ac_OHT
H4K12ac.nodups.bam	BAM00056			ChIP_seq	histone	H4K12ac
H3K4me2_-OHT_hg19.sorted.nodups.bam	BAM00057			ChIP_seq	histone	H3K4me2
